Job Title,Company Name,Ratings,Experience Required,Salary,Location,Job Description,Updated
GN - SONG - Service - Genesys - Analyst,Accenture,4.0,2-6 Yrs,Not disclosed,"Mumbai, Gurugram, Bengaluru",Engineering Degree or MBA from a tier 1 institute Minimum 2 to 6 years of design and ap...,6 Days Ago
Salesforce Developer,Genpact,3.9,8-10 Yrs,Not disclosed,"Bengaluru, Mumbai (All Areas)",Lightning Web Components (LWC) Aura framework. . Bachelors degree in Any Specialization...,5 Days Ago
Dot Net Fullstack Developer,Tata Consultancy Services,3.8,6-11 Yrs,7-17 Lacs PA,"Bengaluru, Mumbai (All Areas)",Required Technical Skill Set** Should be well versed in creating UI components using Re...,7 Days Ago
Dot Net Technical Architect,Tata Consultancy Services,3.8,9-13 Yrs,Not disclosed,"Bengaluru, Mumbai (All Areas)","Proficient in developing web applications using ASP.NET MVC, HTML5, CSSHands-on experie...",7 Days Ago
GN - Industry - LS - SAP Analyst,Accenture,4.0,1-3 Yrs,Not disclosed,"Mumbai, Gurugram, Delhi / NCR",Intelligent Functions Life Sciences and Health specialistJoin our team in Strategy cons...,5 Days Ago
IT Service Manager,IBM,4.1,0-2 Yrs,Not disclosed,Mumbai,Preferred Technical and Professional Expertise . Education: Bachelors Degree or Diploma...,Just Now
Java Full Stack Application Developer,Oracle,3.8,5-10 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru",Looking for a talented Senior Software Engineer ready for a new challenge in Full Stack...,2 Days Ago
"Java Developer (Java, Plsql)",Oracle,3.8,5-10 Yrs,Not disclosed,"Hyderabad/ Secunderabad, Bangalore/ Bengaluru","Some experience or functional knowledge in accounting, financial applications and / or ...",2 Days Ago
Opportunity - Dotnet Fullstack Developer,Cognizant,3.9,7-12 Yrs,Not disclosed,"Hybrid - Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",". NET developers design, develop, and maintain Microsoft-based software and web applica...",1 Day Ago
Azur Databricks Developer,Citiustech,3.4,3-8 Yrs,Not disclosed,"Hybrid - Hyderabad, Pune, Mumbai (All Areas)","In depth knowledge in SQL, Azure Databricks, Azure data factory, Azure Storage Services...",1 Day Ago
MS-SQL - Abinitio Developer,Hexaware Technologies,3.6,4-7 Yrs,Not disclosed,"Hybrid - Navi Mumbai, Pune, Chennai",Position Opened with Hexaware for the Below Skill having 6+ Years of overall experience...,1 Day Ago
Application Developer,Accenture,4.0,3-5 Yrs,Not disclosed,"Mumbai, Pune","Project Role Description : Design, build and configure applications to meet business pr...",1 Day Ago
Software Development Engineer,Accenture,4.0,3-8 Yrs,Not disclosed,"Mumbai, Pune","Project Role :Software Development EngineerProject Role Description :Analyze, design, c...",2 Days Ago
Application Lead,Accenture,4.0,5-7 Yrs,Not disclosed,"Mumbai, Pune",Minimum 5 year(s) of experience is required. Educational Qualification : 15 Years full ...,2 Days Ago
Workday HCM Testing,Hexaware Technologies,3.6,4-9 Yrs,Not disclosed,"Pune, Chennai, Mumbai (All Areas)",Must be a team player Status reporting and Client facing skills are must Hands on testi...,2 Days Ago
Informatica/ IICS,Infosys,3.8,7-12 Yrs,Not disclosed,"Hybrid - Hyderabad, Pune, Bengaluru","Skills: IICS (Informatica Intelligent Cloud Services), Snowflake, Oracle SQL  Total Yrs...",6 Days Ago
Cognizant is hiring Lotus Notes Developers,Cognizant,3.9,3-8 Yrs,Not disclosed,"Hybrid - Hyderabad, Pune, Bangalore Rural",Should have experience in application migration and data migration projects with exposu...,6 Days Ago
Cognizant is hiring For Quadient Inspire Developers!!!,Cognizant,3.9,5-10 Yrs,Not disclosed,"Hyderabad, Pune, Bangalore Rural","With 3 to 8 years of experience, the ideal candidate will contribute to innovative proj...",7 Days Ago
Singlestore Developer,Infosys,3.8,6-11 Yrs,Not disclosed,"Hybrid - Hyderabad, Pune, Bengaluru",Good knowledge and work experience on diff Data Ingestion methods to load data from ext...,6 Days Ago
Snowflake Developer,Infosys,3.8,6-11 Yrs,Not disclosed,"Hybrid - Hyderabad, Pune, Bengaluru",Apply Snowflake programming and ETL experience to write Snowflake SQL and maintain comp...,6 Days Ago
Automation Test Engineer - SDET,Cognizant,3.9,4-9 Yrs,Not disclosed,"Hybrid - Pune, Chennai, Bengaluru","Primary Skill: Selenium, Java, Rest AssuredExp: 4.5 to 10 Yrs.Location of Hire: Bangal...",2 Days Ago
Angular Developer,Infosys,3.8,3-8 Yrs,Not disclosed,"Pune, Bengaluru",Hiring for Angular developer with experience range 3years & aboveMandatory Skills: Ang...,Today
Job Opportunity For Mainframe Developer,Cognizant,3.9,6-11 Yrs,Not disclosed,"Hybrid - Pune, Chennai, Bengaluru","Job opportunity for Mainframe Developer. Must have skills: Mainframe, Cobol, JCL, CICS,...",5 Days Ago
Job Opportunity For Java Full stack Developer,Cognizant,3.9,6-10 Yrs,Not disclosed,"Hybrid - Pune, Chennai, Bengaluru","Must Have Skills: Core Java, Spring boot, microservices, Angular OR React Experience: 6...",5 Days Ago
Job Opportunity For Java Developer,Cognizant,3.9,6-11 Yrs,Not disclosed,"Hybrid - Pune, Chennai, Bengaluru","Job opportunity for Java Developer. Must Have Skills: Core Java, Spring boot, microserv...",5 Days Ago
Java Full Stack Developer,Cognizant,3.9,6-11 Yrs,15-25 Lacs PA,"Pune, Chennai, Bengaluru",Location: Bangalore . Notice: Immediate Joiner to 30 Days . 8+ years of working experie...,6 Days Ago
Looking For Full time Opportunity-Azure Integration Services,Capgemini,3.8,6-11 Yrs,Not disclosed,"Hybrid - Pune, Chennai, Bengaluru",A min of 2 to 4 years of relevant experience with Azure Integration Services like Azure...,6 Days Ago
Automotive Cybersecurity Engineer,Larsen & Toubro (L&T),4.0,4-9 Yrs,Not disclosed,"Mysuru, Pune, Bengaluru","Work Location is Pune, Bangalore & Mysore . Total Experience: 5 to 10 Years. Qualificat...",6 Days Ago
Automation Test Engineer,PwC India,3.5,4-7 Yrs,Not disclosed,"Hybrid - Pune, Chennai, Bengaluru",SKills Set : QA Automation Test EngineerExperience : 4-7 YearsLocation : BangaloreNotic...,6 Days Ago
BSP Developers/Leads(4-10 Yrs),Tata Elxsi,4.0,4-9 Yrs,Not disclosed,"Hybrid - Pune, Chennai, Bangalore/Bengaluru","Ecockpit BSP Leads / Developers Experience in Linux BSP or other POSIX RTOS like QNX, ...",5 Days Ago
Application Lead,Accenture,4.0,7-11 Yrs,Not disclosed,Pune,Minimum 5 year(s) of experience is required. Educational Qualification : Engineering gr...,6 Days Ago
Application Tech Support Practitioner,Accenture,4.0,0-2 Yrs,Not disclosed,Pune,Flexibility towards working on shiftsMust have skills : Enterprise Network Operations. ...,1 Day Ago
Java Full Stack Developer,Avaya India,3.5,7-9 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",JOB OVERVIEWJOB TITLE JAVA/J2EE Full Stack DeveloperFUNCTION Global ITLOCATION BANGALOR...,8 Days Ago
Perl Developer - Mumbai/Pune/Hyderabad/Bangalore,Service based Top B2B MNC in IT Services Domain,No Ratings Available,3-7 Yrs,10-20 Lacs PA,"Hyderabad, Bengaluru, Mumbai (All Areas)",Experience 3 to 6 yearsBudget- 22 LPALocation: Mumbai Pune Hyderabad BangaloreNotice P...,8 Days Ago
Tcs Hiring For Siebel CRM Designer @ PAN India,Tata Consultancy Services,3.8,8-12 Yrs,Not disclosed,"Hyderabad, Bangalore Rural, Mumbai (All Areas)","Required Technical Skill Set: Siebel Configuration, Siebel eScripting, Siebel Workflow ...",8 Days Ago
Prompt Engineer (Fine Arts and Humanities Background) - ON Contract,A client of Randstad,No Ratings Available,1-3 Yrs,3-4.5 Lacs PA,"Mumbai, Bangalore Rural, Mumbai (All Areas)","ON CONTRACT ROLE Job Title: Associate Prompt Engineers/Prompt EngineersLocation: [Pune,...",6 Days Ago
Looking For Immediate Joiners-SAP ABAP,Atos Syntel,3.6,5-10 Yrs,Not disclosed,"Hybrid - Chennai, Bengaluru, Mumbai (All Areas)","Dear Candidate, We are hiring SAP ABAP Consultants. Please drop in your CV to sneha.r@e...",1 Day Ago
Immediate joiner For GCP engineer (Terraform),Infogain,3.6,6-11 Yrs,Not disclosed,"Hybrid - Noida, Bengaluru, Mumbai (All Areas)",Greetings from Infogain! We are having Immediate requirement for GCP Devops engineer i...,Few Hours Ago
OT Security,PwC India,3.5,4-7 Yrs,7-17 Lacs PA,"Gurugram, Bengaluru, Mumbai (All Areas)",You will work as part of the Cybersecurity practitioners with extensive consulting and ...,8 Days Ago
Business Development Manager,Bangalore Strategic Solutions,No Ratings Available,4-7 Yrs,Not disclosed,"Goregaon, Mumbai (All Areas)",Client Acquisition & Relationship Management: Sales Strategy & Execution: Market Resear...,6 Days Ago
Dot Net Developer (With Unit Testing),Support Star Corporate,No Ratings Available,5-10 Yrs,15-25 Lacs PA,"Hybrid - Bengaluru, Delhi / NCR, Mumbai (All Areas)","• Development experience in C# .Net, SQL Server. • Proficiency with SQL Server (trigger...",7 Days Ago
Application Developer,Accenture,4.0,5-10 Yrs,Not disclosed,Mumbai,Experience in developing and maintaining software applications using PythonMinimum 5 ye...,8 Days Ago
Application Developer,Accenture,4.0,7-10 Yrs,Not disclosed,Mumbai,"Project Role :Application DeveloperProject Role Description :Design, build and configur...",9 Days Ago
Sap Hana Developer,Tata Consultancy Services,3.8,3-6 Yrs,Not disclosed,"Indore, Nagpur, Mumbai (All Areas)",Should have worked on Development / Support Project. . Good to Have. Experience: 4 to 1...,10 Days Ago
System Analyst,DHL,4.1,0-4 Yrs,Not disclosed,Mumbai (All Areas),"A minimum of 3 years experience in delivering solutions to stakeholders Preferably, exp...",5 Days Ago
Aws Devops Engineer,Tata Consultancy Services,3.8,5-10 Yrs,Not disclosed,"Hyderabad, Chennai, Bengaluru",Should have experience working on Dockers,Just Now
Sap Sd Consultant,Cognizant,3.9,6-9 Yrs,Not disclosed,"Hybrid - Hyderabad, Chennai, Bengaluru","Job description:SAP SD consultant, SAP SD/Sales & Distribution.Experience: 6-9yearsLoca...",Just Now
Microsoft Engineer,NTT Global Data Centers,No Ratings Available,7-12 Yrs,9-16 Lacs PA,"Hyderabad, Bangalore Rural",Position: Microsoft Engineer. Full time positionEssential Job Functions: . Microsoft se...,1 Day Ago
Cognizant is Hiring For SDET (Automation Testing) !!,Cognizant,3.9,4-9 Yrs,5-11 Lacs PA,"Hybrid - Hyderabad, Chennai, Bengaluru","Dear Aspirants, Cognizant is Hiring for SDET (Automation Testing) !!Experience : 3 to 9...",1 Day Ago
Java Developer,Cognizant,3.9,6-11 Yrs,7-17 Lacs PA,"Hybrid - Hyderabad, Chennai, Bengaluru","Experience: 6 Years - 12 Years : . 5+ years of experience in Java Development, . Extens...",1 Day Ago
S&C Global Network - AI - Software & Platform- Gen AI - Consultant,Accenture,4.0,5-10 Yrs,Not disclosed,"Hyderabad, Bengaluru",Entity:- Accenture Strategy & ConsultingTeam:- Global Network - Data & AIPractice:- CMT...,2 Days Ago
Ssrs Developer,Hexaware Technologies,3.6,6-9 Yrs,Not disclosed,"Hybrid - Hyderabad, Chennai, Bengaluru","Minimum 7 years of experience with BI Reporting tools, focused on working with SSRS to ...",1 Day Ago
