Job Title,Location,Job Description,Experience Required
SAP ABAP Cloud for S/4HANA Developer,Various locations,Business Architecture Team Lead/Consultant,Mid-Level
SAP BTP Consultant,Various locations,Technology Consulting Team Lead/Consultant,Mid-Level
Workday Certified Integrations Lead- Education & Government,Various locations,Business Architecture Associate Manager,Mid-Level
Workday Certified Technical Manager - Education & Government,Various locations,Business Architecture Manager,Senior Level
Workday Certified Integration Developer Consultant - Education/Government,Various locations,Business Architecture Team Lead/Consultant,Mid-Level
Workday Certified Data Consultant,Various locations,Business Architecture Team Lead/Consultant,Mid-Level
Workday Certified Financials FDM Lead – Education & Government,Various locations,Business Architecture Associate Manager,Mid-Level
Workday Certified Financials R2R Consultant – Education & Government,Various locations,Business Architecture Team Lead/Consultant,Mid-Level
Workday Certified Prism Lead - Education & Government,Various locations,Business Architecture Associate Manager,Mid-Level
Workday Financials Adaptive Consultant – Education & Govt,Various locations,Business Architecture Team Lead/Consultant,Mid-Level
Workday Certified Student Records/Curriculum/Advising Lead - Higher Education,Various locations,Business Architecture Associate Manager,Mid-Level
^Full Stack JAVA Developer - 5467547,"Florham Park, NJ",Software Development Senior Analyst,Mid-Level
^ETL Database Engineer  5411332,"Bloomington, IL","Data Eng, Mgmt & Governance Senior Analyst",Mid-Level
Consulting Summer Analyst - NAELFY25,Various locations,Mgmt Consulting Analyst,Early Career
Technology Summer Analyst - NAELFY25,Various locations,Business Architecture Analyst,Early Career
Oracle Utilities Consultant - Technical Designer,Various locations,Business Architecture Team Lead/Consultant,Mid-Level
Execution Engineer,Various locations,"Data Eng, Mgmt & Governance Associate",Mid-Level
Splunk Application Developer,"Irving, TX",Advanced App/Cloud Support & Engineering Analyst,Mid-Level
Systems Engineering- 5444434,"Florham Park, NJ",Infra Managed Service Senior Analyst,Mid-Level
Ansible Application Developer/Solution Engineer- 5444417,"Dallas, TX",Advanced App/Cloud Support & Engineering Senior Analyst,Mid-Level
Oracle GenAI Senior Manager,Various locations,Business Architecture Senior Manager,Senior Level
Oracle Platform Security Manager,Various locations,Security Consulting Senior Manager,Senior Level
Oracle SQL/ PLSQL Lead Developer - 5384983,Various locations,Database Administration Team Lead/Consultant,Mid-Level
SAP JVA/PRA Lead,Various locations,Technology Consulting Manager,Senior Level
SAP ABAP Cloud for S/4HANA Developer,Various locations,Business Architecture Team Lead/Consultant,Mid-Level
SAP BTP Consultant,Various locations,Technology Consulting Team Lead/Consultant,Mid-Level
Workday Certified Integrations Lead- Education & Government,Various locations,Business Architecture Associate Manager,Mid-Level
Workday Certified Technical Manager - Education & Government,Various locations,Business Architecture Manager,Senior Level
Workday Certified Integration Developer Consultant - Education/Government,Various locations,Business Architecture Team Lead/Consultant,Mid-Level
Workday Certified Data Consultant,Various locations,Business Architecture Team Lead/Consultant,Mid-Level
Workday Certified Financials FDM Lead – Education & Government,Various locations,Business Architecture Associate Manager,Mid-Level
Workday Certified Financials R2R Consultant – Education & Government,Various locations,Business Architecture Team Lead/Consultant,Mid-Level
Workday Certified Prism Lead - Education & Government,Various locations,Business Architecture Associate Manager,Mid-Level
Workday Financials Adaptive Consultant – Education & Govt,Various locations,Business Architecture Team Lead/Consultant,Mid-Level
Workday Certified Student Records/Curriculum/Advising Lead - Higher Education,Various locations,Business Architecture Associate Manager,Mid-Level
^Full Stack JAVA Developer - 5467547,"Florham Park, NJ",Software Development Senior Analyst,Mid-Level
^ETL Database Engineer  5411332,"Bloomington, IL","Data Eng, Mgmt & Governance Senior Analyst",Mid-Level
Consulting Summer Analyst - NAELFY25,Various locations,Mgmt Consulting Analyst,Early Career
