Job Title,Company Name,Location,Salary,Experience,Job Description
IT Audit (Global Markets) - Senior Manager,Jobs via eFinancialCareers,All India,Not Disclosed,8 to 12 Yrs,No Description Available
Senior IT Specialist,Loopio,All India,Not Disclosed,3 to 7 Yrs,No Description Available
Lead IT Recruiter,AVSAR,Other Haryana,Not Disclosed,3 to 7 Yrs,No Description Available
Information Technology (IT) Service Desk Analyst - Level 1,Meltwater Group,All India,Not Disclosed,1 to 5 Yrs,No Description Available
14296279 - ServiceNow IT Service Management,Trigent Software Inc,All India,Not Disclosed,2 to 6 Yrs,No Description Available
IT Admin,Butterfly Groups,Other Tamil Nadu,Not Disclosed,2 to 6 Yrs,No Description Available
IT Support Engineer,SMS-Magic,Other Maharashtra,Not Disclosed,3 to 7 Yrs,No Description Available
US IT Recruiter,BerklySoft,Chennai,Not Disclosed,3 to 7 Yrs,No Description Available
US & Domestic IT recruiters (Background- IT staffing company only),Himflax Group,Noida,Not Disclosed,2 to 6 Yrs,No Description Available
Head - IT & Digital Transformation,UNISON INTERNATIONAL CONSULTING (The Recruitment Company),Delhi,Not Disclosed,15 to 19 Yrs,No Description Available
Business Development Manager- IT,VIT Infotech,Other Karnataka,Not Disclosed,3 to 7 Yrs,No Description Available
IT Infrastructure Analyst,TechNerds Solutions,All India,Not Disclosed,5 to 9 Yrs,No Description Available
Inside Sales Executive(IT Solutions/Services),Pronix,Hyderabad,Not Disclosed,1 to 5 Yrs,No Description Available
Associate IT Pillar Specialist,"McDermott International, Ltd",Chennai,Not Disclosed,2 to 6 Yrs,No Description Available
Business Development Executive (IT Staffing and Software Development),Technokrate Technologies,Other Maharashtra,Not Disclosed,1 to 5 Yrs,No Description Available
IT Sales Manager-Bhopal,Adhaan Solution Pvt. Ltd.,Other Madhya Pradesh,Not Disclosed,6 to 10 Yrs,No Description Available
"Manager, IT - Engineering",Flowserve Corporation,Chennai,Not Disclosed,5 to 9 Yrs,No Description Available
IT Project Manager/Onsite Business Partner- Chennai Site,Qualcomm,Chennai,Not Disclosed,2 to 8 Yrs,No Description Available
IT Sales Manager,Edgeconnect global Pvt.Ltd.,Noida,Not Disclosed,2 to 6 Yrs,No Description Available
IT Support Engineer,Dhyey Consulting,Other Gujarat,Not Disclosed,2 to 6 Yrs,No Description Available
US IT Recruiter,"Pinnacle Group, Inc.",All India,Not Disclosed,2 to 6 Yrs,No Description Available
It Service Desk Executive,M/S MIG DOOR VISAS IMMIGRATION,Chennai,Rs 40  - 50 Lakh/Yr,1 to 6 Yrs,"Technical Support:Provide timely and effective technical support to end-users via phone, email, or in-person interactions. Troubleshoot hardware and software issues, guiding users through problem-solving processes. | Incident Management:Log all incoming requests and incidents into the service desk system. Prioritize and categorize incidents based on severity and impact on business operations. | Communication:Maintain clear communication with users throughout the incident resolution process. Update users on the status of their requests and provide follow-up as necessary. | Documentation:Create and maintain documentation related to common issues, solutions, and procedures to enhance knowledge sharing within the team. | Collaboration:Work closely with other IT teams (e.g., network support, application support) to escalate complex issues that require specialized expertise."
IT sales & marketing manager,Fusion TechLab,Other West Bengal,Not Disclosed,4 to 8 Yrs,No Description Available
IT Recruiters,System Soft Technologies,Hyderabad,Not Disclosed,2 to 6 Yrs,No Description Available
IT  Sales Manager,Agmatel India Pvt Ltd,Delhi,Not Disclosed,5 to 9 Yrs,No Description Available
Chartered Accountant - IT Taxation Specialist,WORKQUEST GLOBAL PRIVATE LIMITED,Other Gujarat,Not Disclosed,3 to 7 Yrs,No Description Available
IT Sales Associate,Prudent Tech IT Solutions,Other Maharashtra,Not Disclosed,2 to 6 Yrs,No Description Available
ROLE  Bench Sales Manager - US IT Recruitment,Avtech Software Services (I) Pvt Ltd,Chennai,Not Disclosed,8 to 12 Yrs,No Description Available
Associate Director - Cloud & IT DR Solutions (InfoSec),WNS Global Services,Other Maharashtra,Not Disclosed,5 to 9 Yrs,No Description Available
IT Business Analyst,Peter Lang International Academic Publishers,All India,Not Disclosed,2 to 6 Yrs,No Description Available
Business Development Executive (IT SECTOR),STUDYLEAGUE IT SOLUTIONS LLP,Other Maharashtra,Not Disclosed,1 to 5 Yrs,No Description Available
Senior IT Project Manager / Product Manager,Butterfly Technology,Delhi,Not Disclosed,5 to 9 Yrs,No Description Available
IT Operations specialist,LP Infotech,Other Punjab,Not Disclosed,2 to 6 Yrs,No Description Available
IT Financial Management-Program/Project Management Representativ,Accenture in India,Other Karnataka,Not Disclosed,0 to 3 Yrs,No Description Available
Enterprise Sales Manager IT (IT ),HR Inc Consultants,Other Maharashtra,Not Disclosed,4 to 9 Yrs,No Description Available
ServiceNow IT Service Management-Application Developer,Accenture in India,Other Maharashtra,Not Disclosed,8 to 12 Yrs,No Description Available
IT Sales Calling Outbound Associate (International),Centrelocus (eSrot Labs),All India,Not Disclosed,2 to 6 Yrs,No Description Available
Regional Field IT & Connectivity Specialist Industry ASPAC,bioMrieux,Delhi,Not Disclosed,7 to 11 Yrs,No Description Available
IT Sales - Head (For US Geography),Quadagile Consulting LLP,Other Karnataka,Not Disclosed,15 to 19 Yrs,No Description Available
IT Service Management Professional,Siemens Healthineers,Other Karnataka,Not Disclosed,10 to 14 Yrs,No Description Available
"Associate Manager,PBNA IBP IT Data Analyst",PepsiCo,Other Telangana,Not Disclosed,5 to 9 Yrs,No Description Available
IT Engineer - Infrastructure,Trask,Chennai,Not Disclosed,5 to 9 Yrs,No Description Available
Business Analyst (IT Service Based company),Creative Hustlers,Other Gujarat,Not Disclosed,2 to 6 Yrs,No Description Available
"Sales Engineers IT Networking, Telematics & Automation Solution...",GrowTrade Corporation,Other Maharashtra,Not Disclosed,5 to 9 Yrs,No Description Available
IT Sales  Corporate & Retail,Netgains Technologies,Other Maharashtra,Not Disclosed,2 to 6 Yrs,No Description Available
IT Infrastructure and Security Architecture Manager,Dormer Pramet,Other Karnataka,Not Disclosed,10 to 14 Yrs,No Description Available
IT sales & marketing,Arahan Solutions Private Limited,Delhi,Not Disclosed,2 to 6 Yrs,No Description Available
Sr. US IT Recruiter (C2C Recruiter),iTech US Inc,Hyderabad,Not Disclosed,5 to 9 Yrs,No Description Available
IT Sales,0101 Digit All,All India,Not Disclosed,0 to 4 Yrs,No Description Available
Sr. US IT Technical Recruiter,PRIMUS Global Services,Noida,Not Disclosed,3 to 7 Yrs,No Description Available
IT Support Specialist,Annex India,Guntur,Not Disclosed,3 to 7 Yrs,No Description Available
IT Infrastructure Lead - Datacenter Operations,Deccan Herald,Other Karnataka,Not Disclosed,10 to 14 Yrs,No Description Available
IT Support Intern- Mumbai (Immediate),Kanishka Software Pvt Ltd,Other Maharashtra,Not Disclosed,0 to 4 Yrs,No Description Available
HR Executive (IT Recruitment),Destiny HR Group Services,Delhi,Not Disclosed,2 to 6 Yrs,No Description Available
"Professional, IT Quality Assurance-IND",Ingram Micro,Other Maharashtra,Not Disclosed,1 to 5 Yrs,No Description Available
MBA Freshers IT Services - Sales Executive (Walk In),Ascend International US,Hyderabad,Not Disclosed,0 to 4 Yrs,No Description Available
IT Operations Analyst III,MoneyGram International,Other Maharashtra,Not Disclosed,3 to 7 Yrs,No Description Available
IT Business Development Executive,Lauren,Other Haryana,Not Disclosed,2 to 6 Yrs,No Description Available
Business Development Manager-US IT Staffing Domain,Techgene Solutions,All India,Not Disclosed,2 to 10 Yrs,No Description Available
IT Support Technician,QHT CLINIC,All India,Not Disclosed,4 to 8 Yrs,No Description Available
IT Sales - Hardware,High Career,Other Maharashtra,Not Disclosed,3 to 7 Yrs,No Description Available
Global IT Infrastructure Delivery Lead,AstraZeneca,Chennai,Not Disclosed,4 to 8 Yrs,No Description Available
IT Delivery Manager,PACCAR,Other Maharashtra,Not Disclosed,14 to 18 Yrs,No Description Available
Growth Manager (IT Sales),Creativefuel,Indore,Not Disclosed,3 to 7 Yrs,No Description Available
Business Development Graduate - IT Consulting (Remote - Australian...,CodeSavvy Solutions,All India,Not Disclosed,0 to 4 Yrs,No Description Available
Lead Recruiter-UK IT Staffing,Jconnect Infotech Pvt. Ltd.,Lucknow,Not Disclosed,5 to 9 Yrs,No Description Available
IT Helpdesk technician -System Administrator,Colruyt IT Consultancy India,Hyderabad,Not Disclosed,2 to 6 Yrs,No Description Available
US IT Recruiter,Viva Tech Solutions,Other Tamil Nadu,Not Disclosed,2 to 6 Yrs,No Description Available
